country,ups,iata,currency_code,currency_name
菲律賓,PH,PH,PHP,菲律賓比索
波蘭,PL,PL,PLN,波蘭茲羅提
波納佩島,PO,FM,USD,美元
葡萄牙,PT,PT,EUR,歐元
波多黎各,PR,PR,USD,美元
卡塔爾,QA,QA,QAR,卡塔爾里亞爾
留尼旺島,RE,RE,EUR,歐元
羅馬尼亞,RO,RO,ROL,羅馬尼亞列伊
羅塔,RT,MP,USD,美元
俄羅斯,RU,RU,RUB,俄羅斯盧布
盧旺達,RW,RW,RWF,盧旺達法郎
薩巴島,S1,BQ,ANG,荷屬安的列斯盾
塞班島,SP,MP,USD,美元
薩摩亞,WS,WS,WST,薩摩亞 塔拉
圣馬力諾,SM,SM,EUR,歐元
圣多美與普林西比,ST,ST,STD,圣多美和普林西比多布拉
沙烏地阿拉伯,SA,SA,SAR,沙特里亞爾
蘇格蘭,SF,GB,GBP,英鎊
塞內加爾,SN,SN,XOF,西非國家中央銀行非洲法郎
塞爾維亞,RS,RS,EUR,塞爾維亞第納爾
塞舌爾,SC,SC,SCR,塞舌爾盧比
塞拉利昂,SL,SL,SLL,塞拉利昂 利昂
新加坡,SG,SG,SGD,新加坡元
斯洛伐克,SK,SK,EUR,歐元
斯洛維尼亞,SI,SI,EUR,歐元
所羅門群島,SB,SB,SBD,所羅門群島元
南非,ZA,ZA,ZAR,南非蘭特
西班牙,ES,ES,EUR,歐元
斯里蘭卡,LK,LK,LKR,斯里 蘭卡盧比
聖 巴泰勒米,BL,BL,EUR,歐元
圣克里斯托弗島,SW,KN,XCD,東加勒比元
聖 克魯斯,C3,VI,USD,美元
聖 尤斯特歇斯,E2,BQ,ANG,荷屬安的列斯盾
聖約翰,UV,VI,USD,美元
圣基茨和尼維斯,KN,KN,XCD,東加勒比元
圣盧西亞,LC,LC,XCD,東加勒比元
圣馬藤島和圣馬丁,SX,SX,USD,美元
聖托馬斯,VL,VI,USD,美元
圣文森特和格林納丁斯,VC,VC,XCD,東加勒比元
蘇里南,SR,SR,SRG,蘇里南盾
斯威士蘭,SZ,SZ,SZL,斯威士蘭 里蘭吉尼
瑞典,SE,SE,SEK,瑞典克朗
瑞士,CH,CH,CHF,瑞士法郎
塔希提島,TA,PF,XPF,太平洋法郎
台灣,TW,TW,TWD,臺灣元
塔吉克共和國,TJ,TJ,TJS,塔吉克共和國 索莫尼
坦桑尼亞,TZ,TZ,TZS,坦桑尼亞先令
泰國,TH,TH,THB,泰銖
提尼安島,TI,MP,USD,美元
多哥,TG,TG,XOF,西非國家中央銀行非洲法郎
湯加,TO,TO,TOP,湯加 潘加
Tortola,ZZ,VG,USD,美元
特立尼達和多巴哥,TT,TT,TTD,特立尼達和多巴哥元
特魯克群島,TU,FM,USD,美元
突尼西亞,TN,TN,TND,突尼斯第納爾
土耳其,TR,TR,TRY,土耳其里拉
土庫曼共和國,TM,TM,TMT,土庫曼斯坦馬納特
特克斯群島和凱科斯群島,TC,TC,USD,美元
圖瓦盧,TV,TV,AUD,澳洲元
美國 維京群島,VI,VI,USD,美元
烏干達,UG,UG,UGX,烏干達先令
烏克蘭,UA,UA,UAH,烏克蘭 格里夫納
尤寧島,UI,VC,XCD,東加勒比元
阿拉伯聯合酋長國,AE,AE,AED,阿聯酋迪拉姆
英國,GB,GB,GBP,英鎊
美國,US,US,USD,美元
烏拉圭,UY,UY,UYU,烏拉圭比索
烏茲別克共和國,UZ,UZ,UZS,烏茲別克斯坦索姆
瓦努阿圖,VU,VU,VUV,瓦努阿圖 瓦圖
梵蒂岡,VA,VA,EUR,歐元
委內瑞拉,VE,VE,VEB,委內瑞拉博利瓦
越南,VN,VN,VND,越南盾
維爾京 戈爾達島,VR,VG,USD,美元
威爾士,WL,GB,GBP,英鎊
瓦利斯和 富圖納群島,WF,WF,XPF,太平洋法郎
雅浦島,YA,FM,USD,美元
也門,YE,YE,YER,也門里亞爾
贊比亞,ZM,ZM,ZMK,贊比亞克瓦查
津巴布韋,ZW,ZW,ZWD,津巴布韋元
