id,server,platform,is_open,language,num
int,string,string,int,string,int
83,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,th,5
84,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,vi,2
85,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,vi,3
86,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,vi,4
87,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,vi,5
88,1-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,tr,2
89,301-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,tr,3
90,601-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,tr,4
91,901-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,tr,5
92,1-50,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,7
93,51-100,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,8
94,101-150,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,9
95,151-200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,10
96,201-250,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,11
97,251-300,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,12
98,301-350,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,13
99,351-400,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,14
100,401-450,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,15
101,451-500,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,16
102,501-550,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,17
103,551-600,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,18
104,601-650,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,19
105,651-700,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,20
106,701-750,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,21
107,751-800,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,22
108,801-850,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,23
109,851-900,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,24
110,901-950,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,25
111,951-1000,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,26
112,1001-1050,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,27
113,1051-1100,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,28
114,1101-1150,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,29
115,1151-1200,appiosglobal|googleplay|appfb|apphuaweiglobal,1,en,30
